_id,domain_global_string,review_rating,notes,review_text,review_title,use_sentiment_label,use_theme_exists,fit_sentiment_label,fit_theme_exists,value_sentiment_label,value_theme_exists,style_sentiment_label,style_theme_exists,quality_sentiment_label,quality_theme_exists
amazonR2ZNCYQDO2EDXP,APPAREL,2,X,"Basically, here are the issues:|The front pockets are way too deep! My sleeve gets jammed in the pocket before I can reach my keys.|The waist is too small. I had bought another pair of wrangler shorts in my size, and I can't close the button. I bought this in 1 size larger, so the button will close, but the legs are too big.|The waist sits too high. I have to wear them above my navel if I want the crotch where it should be, but that's above my underwear and quickly irritates my belly. Sure, I can let them ride down, but then I get two problems -|1. the lowered crotch makes it really hard to climb a ladder, and|2. The length is a bit too long. When sitting, the ends of the legs constantly rub the top of my calves, irritating my skin. If I pull the waist up above my navel, then the length is good.|I'd expect these problems from a no-name, $10 pair of shorts, not name brand at this price. For the money I paid, I'm not about to throw them away, so I'll just keep using them. To mitigate the issues, I'm using the cargo pockets instead of the front pockets, rolling up the bottom of the legs, and (annoyingly) hiking them up every time I climb a ladder.|The plus side is that the fabric looks and feels durable. The cloth is pretty comfortable to wear. Even in summer heat, I had unexpectedly good airflow (i.e. the swampiness level was very low)!",Great quality but poor fit and proportions.,neg,1,neg,1,,0,,0,neg,1
amazonR2ZXBMLLKPQ8ZU,APPAREL,5,,Its comfortable,Comfort,,0,pos,1,,0,,0,,0
amazonR36P2FT26FK3E1,APPAREL,5,"X, ?X","Jeans were originally created for miner's rough working conditions.  From there they were adopted for other outdoor activities b/c of their fit and durability.  Somewhere along the way jeans became ""too""  fashionable and now my once favorite jean maker (Levis) is catering to the fashion trends making it impossible to find the once good fitting, toughness of the originals.|In steps Wrangler.  These are truly comfortable jeans and fit like a glove.  I wear 30x30 and could not have been custom fitted any better.  The denim feels thicker and more durable than anything I've purchased from Levis in the last 15-20 years.  The cowboy cut is great for any boots you want to throw on.  I wear them over cowboy boots, hunting boots and tucked inside rubber boots...the fit is great.  I noticed a review complaining about them being too tight over cowboy boots but these are definitely boot cut jeans.  Mine are perfect and the boot upper is concealed very well inside the pants legs.  As well, the jeans ride at just the right height on the waist and the pockets are a good size.  Glad Wrangler is sticking with tradition.  Ordering more...","Best ""true"" Jeans",,0,pos,1,pos,1,,0,pos,1
amazonR389FMRAN40WYZ,APPAREL,5,,"I'm not huge on spending a lot of money on well, anything.  But since I've moved to Seattle I realised I needed a good rain jacket and this is it.  It's thin enough to wear all year but also when it's cold, it's easy to put a sweater or a few layers underneath.",Worth every penny.,pos,1,,0,pos,1,,0,,0
amazonR3BCEB1VL6MRWZ,APPAREL,4,X,"All the reviews I read before purchasing this shirt said that the fit was big, which led me to purchasing it. I, however, find it to be quite a bit more snug than I expected! The 2xl fits more like an xl or a big large. I'll keep it because I will (knock on wood) be able to wear it in another month or two, but I'm seriously bummed it doesn't fit now! I need a good running shirt to wear while I get my butt in shape!|Otherwise, I like the material and that it isn't ridiculously thin like many shirts and I really like the cut. Can't wait until I'm comfortable wearing it!",Snug! But great material.,,0,neg,1,,0,,0,pos,1
amazonR3NHNBCSGSM6DI,APPAREL,5,X,"These are so cool and light! The color is also very fun and different. I would note that the back pockets are actually fake pockets, something I didn't realize before I bought them. But the feel of the material and how they feel when you golf is totally worth it. When it's real hot outside, these feel much cooler than other shorts I own (even some other golf shorts). I would highly recommend these if you can get them for under $40",Great light golf shorts,pos,1,,0,,0,pos,1,pos,1
amazonR5E2FF7S4900Q,APPAREL,4,,But they are comfortable and will do the job!!  I need a durable comfortable fit and I think these will work!,They r fine,,0,pos,1,,0,,0,pos,1
amazonR5Q02XU33P9E,APPAREL,5,,"I generally wear medium, so I order an M size.  After it arrived, I discovered that it was too small to wear with layers or a sport coat.  I returned it for a large, and it fits perfectly.  So... if you are somewhat between medium and large, I would suggest ordering a large.  It's a very nice coat that I will be taking to Europe for Fall/winter.",It's a very nice coat that I will be taking to Europe for ...,pos,1,pos,1,,0,,0,,0
amazonRK4XTHGP42MJU,APPAREL,3,,"Very thin, almost like loose long underwear with a calf zipper and zipper pockets. I like them ok, but not expecting that they will last longer than a year or two. They're somewhere between too thin for cold weather and why would you wear long pants for warmups in warm weather... so wondering what's the point of the thinness. I have some Diadora's from 14 years ago that are a little pilled up, but still in great shape. I see no chance of it with these Nikes but they'll do the trick for a little while.",Mehhhhh...,,0,,0,,0,,0,neg,1
amazonRMXOJVTMJK375,APPAREL,5,,"I bought three size 8 huskys for my 8yo who is 54"" tall and weighs 102 lbs. (Football Fullback)  These pants fit just fine.  We ordered them because we can't find them in the stores after we bought his first pair.  If all else fails order Amazon :) Shipping was about 3 days and free!",As Expected of Levi's,,0,pos,1,,0,,0,,0
amazonRQUZQMNO2S05Y,APPAREL,4,,"Great for travel, doesn't wrinkle, dries quickly.  Long shirt tails look good over tight jeans or tights.  I wish the buttons were not gold with a CK logo on the pocket I don't like to be a walking ad for the designer.",Great for Travel,pos,1,,0,,0,pos,1,pos,1
amazonRVN3126EOU6V3,APPAREL,5,,"absolutely the most comfortable pants ever-use them for lounging,casual and under camo for hunting-will buy again",Five Stars,pos,1,pos,1,pos,1,,0,,0
anthro104217203,APPAREL,5,,"I am in LOVE with this jacket! I wasn't immediately drawn to it online, but it came in my store today and I bought it immediately. Its your basic green army jacket with fur pockets that WOW. It is not lined...so its definitely more of a fall coat, but theres enough room to layer. Today I wore it without the fur collar because I wore it indoors as a third layer...but I could easily pop on the collar to make it more outerwear. Absolutely adore this versatile piece and got endless compliments today",AMAZING JACKET,pos,1,,0,,0,pos,1,pos,1
anthro111653415,APPAREL,5,,"The other reviews of this top's color are accurate: It isn't a true white, its got some yellowing, or ivory. In any regard, its a lovely, feminine top. It drapes well and has a swing quality. Its a little longer in the back on me but I like that. I got compliments all day in this top----even a guy at work that never says anything about my clothes. A nude cami is a must for this top, but otherwise, I am going to consider it a heritage piece that I'll keep and wear for a long time.",Adore this!,,0,,0,,0,pos,1,pos,1
anthro111774875,APPAREL,5,,"I also don't agree with negative reviews. The quality of this dress is very well made / looks high quality, the color is a bright gorgeous poppy color, and the floral print is really pretty in person. I actually didn't purchase this dress for a wedding, but to wear out to dinners and even to nice work events.",Gorgeous dress,pos,1, ,0,,0,pos,1,pos,1
anthro75671819,APPAREL,5,"?X, X","For reference, I am 5'3"", 110lbs and 32B. This top fit perfectly.The embroidery makes this piece look so much more expensive then it is. If you prefer your shirts long and covering the hip and butt area, then you may find this a tad short because it hits more below the waist a little. It's not a heavy weight piece so it's def meant more for Fall than Winter. The button are snap buttons which makes for easier buttoning. Among the sea of denim shirts out there, this one is truly a standout.",Simple Boho Elegance,pos,1,pos,1,,0,,0,pos,1
anthro85049219,APPAREL,4,,I had to review after reading the other reviews - this shirt is not too long at all. I like that I can actually tuck it in rather than untucked and boxy. I love this top! Sleeves are snug (i do have some muscles) but still comfortable.,The sleeves!,,0,pos,1,,0,,0,,0
athleta182845183,APPAREL,4,X,"I am 5'9"" and usually wear a size 6, so I bought this in a small.  This skort runs  large around the waist, but I love the purple paradise color so much, I'll deal with it.  I wear it straight from work to pilates class.  Love the large pockets on both sides and the zippered pocket on the back.","Cute skort, runs large",,0,neg,1,,0,pos,1, ,0
athleta201406022,APPAREL,5,,"Love, love this tank.  I love the low cut in the front and the muscle tank style.  The back is not too long  either.  I wear a small in the regular chi tanks but I sized down to and XS for this tank because I do not like my tops to fit too loose.",Comfy and stylish,,0,pos,1,,0,pos,1,,0
br112619993,APPAREL,5,,"In my office, nice chinos like these are everyday wear. I do no like to spend an exorbitant amount of money on chinos, so I am always looking for a good deal. In the past, I have purchased and worn through Old Navy Slim chinos and Docker's D2 Slim chinos. When I discovered the BR Aiden, they were far and away the best of the bunch. As compared to Old Navy Slim chinos, the Aiden's fabric is higher quality, with a soft hand and as tidy a look at the end of the day as at the beginning. As compared to the Docker's, the Aiden simply fits better. The Aiden's rise is much more effectively and conveniently tailored the zipper on the Docker's is too short (and, men, if you've worn them, you'll know how inconvenient that is at the precise moment you most need convenience). All in all, the Aiden looks sharp, feels rich, and fits me in the modern, slim look that I prefer. I am 5'9"" at 170 lbs. I wear 32x32 because I prefer more length in the leg. I highly recommend the Aiden. They are a good deal at full price, but a real steal and expectation-exceeding delight if you get them on sale.",The perfect pant for me,pos,1,pos,1,pos,1,pos,1,pos,1
br134786929,APPAREL,5,,"Pants are comfortable and very well made, they fit great!",Perfect fit,,0,pos,1,,0,,0,pos,1
br154752135,APPAREL,5,,"I love the fit of these pants. The Adien cut offers a modern take on the classic chino, and they look great on both slim and sturdy body types. The high quality of the fabric will make these pants last.",excellent quality,,0,pos,1,,0,pos,1,pos,1
br174799885,APPAREL,2,,The new fabric being used in the stretch tees is not the strong fabric used previously listed as Premium Pima Stretch.  Store associate id's that all tees have been renamed obviously this one has been renamed because the fabric is significantly less in quality.,NEW FABRIC CHEAPER,,0,,0,,0,,0,neg,1
br198112991,APPAREL,5,X,I have purchased about a dozen of these pants in different colors and sizes over the past 4-5 years. They are the most comfortable and best fitting pant I own. They work for both casual and dresses up settings.,Comfortable for every occasion,pos,1,pos,1,,0,,0,,0
br200687295,APPAREL,5,,"Luxurious fabric and a rich black. Great fit, still slim, though more generous than the Grant-slim fit.",Luxurious Black,,0,pos,1,,0,pos,1,pos,1
br203048213,APPAREL,5,,This is my favorite color. It goes well with my skin tone. Olive to caramel. Im excited to wear it soon in NYC with our fall and winter season.,Perfect color for me!,pos,1,,0,,0,pos,1,,0
brooks_brothers163824446,APPAREL,5,,Love the fabric and the print.  I wil enjoy on vacation.,Great shirt,pos,1,,0,,0,pos,1,pos,1
carters104724925,APPAREL,4,,"My daughter picked this dress out online, we got it in and she loves the colors. I think the green is darker but its all very pretty. My daughter is very thin and tall so we got this in a size up to 1. be able to wear it longer and 2. we know carters shrinks. We are excited to put this with her cowgirl boots and flats, were it with leggings or tights to dress it up or casual. We also like to use layers in fall and winter months so we will probably use it with layers and into spring and summer. It is an all year dress.",love these colors together,pos,1,,0,,0,pos,1,,0
carters107864437,APPAREL,5,,"As a mom of 4, I look for quality, comfort and price. These pants fit the bill on every level. They have pockets which is a bonus. The material is really soft, and breathable. The drawstring is great as my little boy is on the skinny side. Definitely a staple for this winter.",Great pants,pos,1,pos,1,pos,1,,0,pos,1
carters107916124,APPAREL,5,,Love these pajamas! We love that you can mix and match them and they were a great price!,Pajamas are so cute and fit great!,,0,pos,1,pos,1,pos,1,,0
carters81012289,APPAREL,3,,I was surprised how well the shirt for and how big the pants were. It's super soft and cozy. The shirt works well as a under shirt for winter fits under clothes well.,Bought for 4 year old,pos,1,pos,1,,0,,0,pos,1
carters83710468,APPAREL,5,,Cute design and quality. It does run a little small but overall perfect. The color is nice and the jumpsuit has a hoodie. Perfect for the cold weather. Would definitely but again in a bigger size.,Super soft!,pos,1,pos,1,,0,pos,1,pos,1
carters91074234,APPAREL,5,X,With the adjustable drawstring I could adjust the shorts to my liking. Bright colors to choose from and very comfortable for playing. For this price you can't beat the deal. So lightweight for summer as well perfect for the upcoming weather.,Light weight adjustable and comfortable,pos,1,pos,1,pos,1,,0,pos,1
carters91301653,APPAREL,5,X,"I purchased this polo as a backup to a button down Easter outfit, and ended up going with it due to the weather being above average warm. Our little guy was comfortable in it all day, including two car ride naps. The color (turquoise) is nice and bright, and I think he will get a lot of use out of the polo... as long as it washes well (it was washed on delicate and hung to dry, but not worn again to tell if it still has the great fit).",Cute Spring Wardrobe Addition,pos,1,pos,1,,0,,0,,0
carters96748937,APPAREL,5,,I ordered this for my sons first birthday coming up July 22 I got an 18 month & it fits him perfectly the color is vibrant & the fabric is really soft,Love love love !!,,0,pos,1,,0,,0,pos,1
chplace154091634,APPAREL,5,,I love this little outfit. It appears true to size. The colors are vibrant and the pattern is very cute.,Bright colors!,,0,pos,1,,0,pos,1,,0
chplace163037499,APPAREL,5,,"Yes, as another reviewer stated the pants are on the long side.  I bought a size 4T. Could have bought a 3T but he is growing fast.  I figured they would shrink but they did not. I will simply hem them. The shirt & the shorts will be perfect this summer. He tends to sleep very warm. The colors are vibrant & he loves sharks.",My grandson loves these!,pos,1,neg,1,,0,pos,1,,0
chplace166703708,APPAREL,5,,My six year old picked this shirt out. He thought it was hilarious. The shirt is soft and well made.,Funny,,0,,0,,0,pos,1,pos,1
chplace30817631,APPAREL,5,,These pants are great! My youngest daughter hates wearing jeans and practically lives in these pants! They are very comfortable & stylish and you can't beat the price!,,,0,pos,1,pos,1,pos,1,,0
dicks166993537,APPAREL,5,,Extremely comfortable. Love the pockets & elastic at the ankle.,Queen of Comfort!,,0,pos,1,,0,,0,pos,1
dicks167609616,APPAREL,5,X,My husband loves this wind shirt. We're headed to Arizona and it will be perfect for the weather there. Very light weight and comfortable. Easy to pull on and off. Nice color and texture. He loves the style as well. Good purchase for a fabulous price.,Perfect weight and texture,pos,1,,0,pos,1,pos,1,pos,1
dicks197456033,APPAREL,5,,Great ski jacket. Excellent price including seasonal markdown,Very warm. Perfectly placed pockets.,pos,1,,0,pos,1,,0,pos,1
dicks198016725,APPAREL,5,X,I bought these a few weeks ago and they are so comfortable for working out and everyday use. The print on them is great and the quality is excellent.,Love these shorts,pos,1,,0,,0,pos,1,pos,1
dillards163500480,APPAREL,5,,This is the perfect robe! It is lightweight yet provides excellent coverage. The fabric is soft and extremely comfortable. The self-tie belt has a fabric keeper in the back rather than side belt loops. This keeps the belt centered and in place at all times. I purchased the robe in black and it is a rich deep shade. I am completely pleased!,Perfect Robe,,0,pos,1,,0,pos,1,pos,1
dillards276007457,APPAREL,5,,These are the best jeggings I have bought all season. The fit is modern and not old lady like. Shapes your behind and slims all over! I started with the black and now have the wine color also. I am not sure what they are calling the color but you get it. I am a size 14 and bought the extra large and they make me look 2 sizes thinner. LOVE THEM! LOL,THE BEST MOTO JEGGING!!!,,0,pos,1,,0,pos,1,,0
dillards295506767,APPAREL,4,,"Great casual, sporty but stylish jacket to wear to work or play",Loved Bionic 1 - FYI: Bionic 2 removes the wrist cinch,pos,1,,0,,0,pos,1,,0
eastbay110092855,APPAREL,5,,I saw the deal on these and just got them. I needed some basic shorts for the summer to walk around in.,Great Price,pos,1,,0,pos,1,,0,,0
express105489569,APPAREL,5,,Fits nice. Wear to work or dress up jeans. The color pop with with gold zipper is cute,Nice shirt,pos,1,pos,1,,0,pos,1,,0
express106064202,APPAREL,5,,"I ordered this dress in a size small, and the dress looks spectacular! I must say it does show a little bit of cleavage, and it hugs the waist very nicely but i think that just makes the dress give a sexier and cuter look! You could dress it up or dress it down, its a dress that will work either way",Love IT!!!,,0,,0,,0,pos,1,,0
express118390973,APPAREL,3,,"I expected this top to be a somewhat low-cut, sexy, romantic piece, but the v-neck is actually pretty conservative and office-safe. I'm 5' 5"", bought an XS, and the sleeves were too long on me. The blouson sleeves were cartoonishly large and also have button & loop fastenings (difficult to secure/un-secure). Maybe on a taller person this shirt would look better, but on a shorter girl like me it just looks ridiculous & like I stepped out of a Renaissance Faire.",Not as low-cut as on the model,,0,neg,1,,0,neg,1,neg,1
express118669790,APPAREL,5,,True to size and comfortable for movement and good quality,Great comfortable pants,,0,pos,1,,0,,0,pos,1
express36825799,APPAREL,5,X,"I absolutely love this suit! I own all 3 pieces and every time I wear it I get compliments on the fit. My favorite thing about the suit is the stretch wool which allows for more movement without fear of ripping seams. It is breathable, comfortable and stylish all in one. It does run slightly smaller than normal but thats how I like my suits due to it giving the overall appearance a more form fitting look.",Perfection,,0,pos,1,,0,pos,1,,0
express45723810,APPAREL,5,,This Extra Slim 1MX French Cuff Shirt is simply amazing.,BEST FRENCH CUFF SHIRT EVER,,0,,0,,0,,0,,0
gap130422170,APPAREL,3,,"I liked these when I first bought them, fit well, good length. I ordered a 10 ankle, I'm 5'4 and am usually an 8 or 10. The 10s fit great, one wash and they shrunk just a slight bit, now a little snug in the hips and thighs. I really don't like the button closure on the wrong side, it closes to the left, the opposite of every pant I own. I can't see why they would have made that change. I'll keep them, but keep looking for that perfect pair of khakis.","Don't like button closure, but overall ok",,0,neg,1,,0,,0,neg,1
gap145074776,APPAREL,5,,I bought this bra on sale last weekend and love it! I'm a full 34D. The support is perfect and fabric is soft and comfortable. Will be looking to purchase next sale!,Great everyday bra!,pos,1,pos,1,,0,,0,pos,1
gap154365450,APPAREL,5,"X, ?X","I actually own the wireless bras in 5 different colors, haha. It's the only bra I will wear! I am very much a very full C cup and this bra supports me fully- I'm never uncomfortable or worried that I'm not getting the support I need/Showing off too much, causing strain on my shoulders, back, ect. I'm a believer for life!",Soft yet supportive!,,0,pos,1,pos,1,,0,,0
gap182123467,APPAREL,4,X,"These are very comfortable and cute rolled up. The one drawback for me is the waist is too big - and gets progressively larger as you wear the pants - so I need a belt. (When not tucking, I bought one of those invisibelts so no bulge.) I'm 5'7"" and bought the tall because I wanted the option of wearing them full length or cuffing - the regulars were not full length on me when unrolled. I bought two pairs and put one in the dryer and air dried the other to see the difference. The ones that were put in the dryer did shrink a little bit so beware. It wasn't enough to be an issue for me - and I still need a belt (which I was hoping might not be the issue). Overall I highly recommend these pants.",Great khakis,,0,pos,1,,0,pos,1,,0
gap194504088,APPAREL,5,,"Such a cute sweater for my fur baby.  She will stop shivering when we go on our walk it's soft, cozy, warm and oh so adorable.  Thank you from my Frenchy and me!  We love you and it!!",MOST ADORABLE FUR BABY GIFT!,,0,,0,,0,pos,1,pos,1
gap196341274,APPAREL,5,,Perfect fit and stretch in the fabric makes these jeans so comfortable. Love the casual rinse. No rips!,Perfect fit,,0,pos,1,,0,,0,pos,1
gap196374477,APPAREL,5,,The color is the perfect light blue. The material is soft and durable.,Soft and classic,,0,,0,,0,pos,1,pos,1
gap198682337,APPAREL,4,X,"Purchased medium petite dress is cute but has a boxy fit.  Lightweight material which is great for summer.  Love the pockets, didn’t like the smell of the material but washed well.  Light iron was needed after wash.",Light weight denim for warm summer days,pos,1,,0,,0,,0,pos,1
gap198909199,APPAREL,5,X,"I wear a size 34 DDD and am constantly trying and failing to find bralettes. Wired bras hurt. This sports bra is practically a bralette, but it has more fabric for coverage (still a lot of cleavage) and a higher lattice for containment than the similar gap body lattice bralette (which has nicer fabric). The back is cut in a way that it does not dig in and create rolls. I got a size large and it works, but gap, please  make bralettes for bigger cup sizes. The average American woman is a 34 DD. My only complaint is that the lattice detail is  lumpy under clothes, but it's so comfortable I hardly care. This bra sort of creates a uniboob (the lattice makes it a cute uniboob), but my boobs don't fall out during daily wear (it won't work for any bouncy or inverted exercise though). I feel pretty when I wear it.",Almost perfect,,0,pos,1,,0,,0,,0
gap199058552,APPAREL,5,X,Great fit. Comfy. Soft fabric. Bought the tan color and I think it will be perfect for work or weekend wear. I am 5’4” and weigh 115 lbs. Size 0 regular fit well.,Stylish and good fitting basic pants,pos,1,pos,1,,0,,0,pos,1
gap200264304,APPAREL,4,X,"This is an easy summer PJ top. It has a nice loose, boxy fit that I like for summer sleeping - not too tight.",comfy summer PJ!,pos,1,pos,1,,0,,0,,0
gap202892937,APPAREL,3,,I thought this was going to be my favorite summer dress until I washed it and it shrunk about 2 inches!  I followed the washing instructions exactly. Unfortunately it is way too short now and I am very disappointed.  I also bought the dress in red but am afraid to wash it now.,Shrunk :((,,0,,0,,0,,0,neg,1
gap87401579,APPAREL,4,?X,"I just purchased my third pair of these khakis. My motto is if it isn't broke, don't fix it and these pants are not broke! The rise is a little lower than I like, but, they still make my legs look a mile long.",Third Pair!,,0,,0,pos,1,pos,1,,0
gap87404055,APPAREL,1,,"These shirts are soft and I love the colors.  But they are very thin, and the necks do not hold their shape.  I have bought T-Shirts for a fraction of the price that hold their shape and are about 2 times thicker.  COME ON GAP, GET IT TOGETHER ON THE QUALITY OF YOUR ""BEST"" T-SHIRTS!!",Too Thin!,,0,,0,neg,1,pos,1,neg,1
jcrew142891817,APPAREL,5,x,"Its been a longtime since I spent real money on PJ's. These are classy looking and very soft, comfortable. I really like the wide waste band and straight leg. They are true to size -in that the fit is appropriately baggy. Nice gift to myself.",Feel special in these,,0,pos,1,,0,pos,1,pos,1
jcrew155592543,APPAREL,5,,For me the length of these are optimum. I have long legs and once something is washed they are too short and look dorky. These are comfortable and will be great for fall and winter. These fits true to size.,"Soft, Comfortable and Long Enough",pos,1,pos,1,,0,,0,pos,1
jcrew178891161,APPAREL,1,x,"While the shirt was stylish, the material was cheap. The color washed out in the first wash and the fabric looks stretched out as if it was worn 100 times. It's terrible to know that I bought two shirts at that price and can't wear them more than once. I wish I could get a refund because these shirts did not meet my expectation of the J. Crew brand.",spring wear,neg,1,,0,,0,pos,1,neg,1
jcrew194560092,APPAREL,1,,"I buy a variety of J-Crew tees every few years for my spouse and this is the first year the white shirt is visibly so thin and cheap that you can see through it. He still has the older ones and they are in good shape (i.e. not worn down to the point where they're transparent, only faded) despite having been worn countless times. It's disappointing because we're willing to pay a higher price if it means not having to wear transparent clothing. If J-Crew has gone out of the high-quality business where can a person go to find decent clothing (aka not so cheap that you can see right through it)?",Horrible Quality,,0,,0,neg,1,,0,neg,1
jcrew196285120,APPAREL,5,,"This is my most favorite sweater ever. I have it in three colors (gray, navy and black). I wear it to work often - it's great with a suit and jeans and a blazer, or just on a weekend with a cute pair of cut-offs.",Favorite Sweater Ever!,pos,1,,0,,0,,0,,0
jcrew197961053,APPAREL,4,,"These are very cute. I typically wear between 6-8. An 8 was tight, and if it shrunk would be unwearable. Exchanged for a 10, hope they aren't tight too.",cute but runs small,,0,neg,1,,0,pos,1,,0
kohls101889886,APPAREL,5,,I have removed all other bras from my closet! These bras cover well with great support. They always fit with fluctuations in weight that I've never found in another bra. Great quality.,Always fits!,,0,pos,1,,0,,0,pos,1
kohls108164249,APPAREL,5,,For outdoor activities I like to have multiple layers during cool and cold weather. This top fits comfortably and stays in place with sweatshirts or other thicker layers on top. It performs as well as the premium sports brands at very reasonable price.,Great for layering as the weather gets cooler,pos,1,pos,1,pos,1,,0,,0
kohls108713799,APPAREL,4,,You can't go wrong with these sweatshirts. Soft and comfy. They do run a little small and shrink a bit so maybe size up. I bought this size as a gift but I do wear the smaller version and will keep buying them.,Comfy,pos,1,pos,1,pos,1,,0,neg,1
kohls109049040,APPAREL,1,,"I purchased a size 8 of this dress for my daughter. She loves it a lot but after washing , the red color bleeds into the white trimmings which is very disappointing:( So it now looks like pink instead of bright white. Will be returning it for this reason . Otherwise , if the manufacturer will fix the flaw , this dress is beautiful.",Gorgeous dress but the red color bleeds,,0,,0,,0,pos,1,neg,1
